date,daily_sales,product_category,marketing_spend,day_of_week,is_holiday,day_of_week_num,month,quarter,day_of_year,is_weekend,day_of_week_sin,day_of_week_cos,daily_sales_lag_1,daily_sales_lag_7,daily_sales_diff_1,daily_sales_rolling_mean_7,daily_sales_rolling_std_7,marketing_spend_rolling_mean_7,days_since_start,time_normalized
2023-01-08,16234,Electronics,2600,Sunday,0,6,1,1,8,1,-0.7818314824680299,0.6234898018587334,25890.0,15234.0,-9656.0,19907.0,3456.077931220107,3357.1428571428573,7,0.010479041916167664
2023-01-09,18934,Electronics,3100,Monday,0,0,1,1,9,0,0.0,1.0,16234.0,18456.0,2700.0,20049.85714285714,3244.9445515843763,3371.4285714285716,8,0.011976047904191617
2023-01-10,19456,Electronics,3300,Tuesday,0,1,1,1,10,0,0.7818314824680298,0.6234898018587336,18934.0,17823.0,522.0,20118.14285714286,3210.6621035009475,3385.714285714286,9,0.01347305389221557
2023-01-11,20678,Electronics,3600,Wednesday,0,2,1,1,11,0,0.9749279121818236,-0.22252093395631434,19456.0,19234.0,1222.0,20351.428571428572,3072.4556876187717,3457.1428571428573,10,0.014970059880239521
2023-01-12,21234,Electronics,3800,Thursday,0,3,1,1,12,0,0.43388373911755823,-0.900968867902419,20678.0,20145.0,556.0,20557.714285714286,3033.1509861465665,3514.285714285714,11,0.016467065868263474
2023-01-13,23456,Electronics,4200,Friday,0,4,1,1,13,0,-0.433883739117558,-0.9009688679024191,21234.0,22567.0,2222.0,20713.285714285714,3036.380559936763,3557.1428571428573,12,0.017964071856287425
2023-01-14,26789,Electronics,4800,Saturday,0,5,1,1,14,1,-0.9749279121818236,-0.2225209339563146,23456.0,25890.0,3333.0,20840.285714285714,3143.537376602229,3585.714285714286,13,0.019461077844311378
2023-01-15,17123,Electronics,2700,Sunday,0,6,1,1,15,1,-0.7818314824680299,0.6234898018587334,26789.0,16234.0,-9666.0,20968.714285714286,3392.7150737172965,3628.5714285714284,14,0.020958083832335328
2023-01-16,19345,Electronics,3200,Monday,1,0,1,1,16,0,0.0,1.0,17123.0,18934.0,2222.0,21095.714285714286,3196.930544250515,3642.8571428571427,15,0.02245508982035928
2023-01-17,21567,Electronics,3700,Tuesday,0,1,1,1,17,0,0.7818314824680298,0.6234898018587336,19345.0,19456.0,2222.0,21154.428571428572,3154.099177110258,3657.1428571428573,16,0.023952095808383235
2023-01-18,22345,Electronics,3900,Wednesday,0,2,1,1,18,0,0.9749279121818236,-0.22252093395631434,21567.0,20678.0,778.0,21456.0,3064.283167942109,3714.285714285714,17,0.025449101796407185
2023-01-19,23456,Electronics,4100,Thursday,0,3,1,1,19,0,0.43388373911755823,-0.900968867902419,22345.0,21234.0,1111.0,21694.14285714286,3058.5138236607336,3757.1428571428573,18,0.02694610778443114
2023-01-20,25678,Electronics,4500,Friday,0,4,1,1,20,0,-0.433883739117558,-0.9009688679024191,23456.0,23456.0,2222.0,22011.571428571428,3117.5343813737823,3800.0,19,0.02844311377245509
2023-01-21,28901,Electronics,5000,Saturday,0,5,1,1,21,1,-0.9749279121818236,-0.2225209339563146,25678.0,26789.0,3223.0,22329.0,3390.3078031352834,3842.8571428571427,20,0.029940119760479042
2023-01-22,18234,Electronics,2900,Sunday,0,6,1,1,22,1,-0.7818314824680299,0.6234898018587334,28901.0,17123.0,-10667.0,22630.714285714286,3907.8443637673904,3871.4285714285716,21,0.03143712574850299
2023-01-23,20456,Electronics,3400,Monday,0,0,1,1,23,0,0.0,1.0,18234.0,19345.0,2222.0,22789.428571428572,3661.6784337760932,3900.0,22,0.03293413173652695
2023-01-24,21678,Electronics,3800,Tuesday,0,1,1,1,24,0,0.7818314824680298,0.6234898018587336,20456.0,21567.0,1222.0,22948.14285714286,3508.3662593184026,3928.5714285714284,23,0.0344311377245509
2023-01-25,22890,Electronics,4000,Wednesday,0,2,1,1,25,0,0.9749279121818236,-0.22252093395631434,21678.0,22345.0,1212.0,22964.0,3501.3271293420526,3942.8571428571427,24,0.03592814371257485
2023-01-26,24123,Electronics,4300,Thursday,0,3,1,1,26,0,0.43388373911755823,-0.900968867902419,22890.0,23456.0,1233.0,23041.85714285714,3491.3138132882204,3957.1428571428573,25,0.0374251497005988
2023-01-27,26456,Electronics,4700,Friday,0,4,1,1,27,0,-0.433883739117558,-0.9009688679024191,24123.0,25678.0,2333.0,23137.14285714286,3513.5317667826007,3985.714285714286,26,0.038922155688622756
2023-01-28,29789,Electronics,5200,Saturday,0,5,1,1,28,1,-0.9749279121818236,-0.2225209339563146,26456.0,28901.0,3333.0,23248.285714285714,3618.0524555938327,4014.285714285714,27,0.040419161676646706
2023-01-29,19123,Electronics,3000,Sunday,0,6,1,1,29,1,-0.7818314824680299,0.6234898018587334,29789.0,18234.0,-10666.0,23375.14285714286,3856.9620354441045,4042.8571428571427,28,0.041916167664670656
2023-01-30,21345,Electronics,3500,Monday,0,0,1,1,30,0,0.0,1.0,19123.0,20456.0,2222.0,23502.14285714286,3669.5459041763093,4057.1428571428573,29,0.04341317365269461
2023-01-31,22567,Electronics,3900,Tuesday,0,1,1,1,31,0,0.7818314824680298,0.6234898018587336,21345.0,21678.0,1222.0,23629.14285714286,3560.3084804817768,4071.4285714285716,30,0.04491017964071856
2023-02-01,20456,Electronics,3400,Wednesday,0,2,2,1,32,0,0.9749279121818236,-0.22252093395631434,22567.0,22890.0,-2111.0,23756.14285714286,3494.3541333877124,4085.714285714286,31,0.04640718562874251
2023-02-02,21678,Electronics,3700,Thursday,0,3,2,1,33,0,0.43388373911755823,-0.900968867902419,20456.0,24123.0,1222.0,23408.428571428572,3709.3905095555706,4000.0,32,0.04790419161676647
2023-02-03,23890,Electronics,4100,Friday,0,4,2,1,34,0,-0.433883739117558,-0.9009688679024191,21678.0,26456.0,2212.0,23059.14285714286,3745.8251173171175,3914.285714285714,33,0.04940119760479042
2023-02-04,27123,Electronics,4800,Saturday,0,5,2,1,35,1,-0.9749279121818236,-0.2225209339563146,23890.0,29789.0,3233.0,22692.571428571428,3473.6699544402527,3828.5714285714284,34,0.05089820359281437
2023-02-05,18234,Electronics,2900,Sunday,0,6,2,1,36,1,-0.7818314824680299,0.6234898018587334,27123.0,19123.0,-8889.0,22311.714285714286,2602.9576584010297,3771.4285714285716,35,0.05239520958083832
2023-02-06,20456,Electronics,3400,Monday,0,0,2,1,37,0,0.0,1.0,18234.0,21345.0,2222.0,22184.714285714286,2798.7879349393206,3757.1428571428573,36,0.05389221556886228
2023-02-07,21678,Electronics,3800,Tuesday,0,1,2,1,38,0,0.7818314824680298,0.6234898018587336,20456.0,22567.0,1222.0,22057.714285714286,2862.6826995137344,3742.8571428571427,37,0.05538922155688623
2023-02-08,22890,Electronics,4000,Wednesday,0,2,2,1,39,0,0.9749279121818236,-0.22252093395631434,21678.0,20456.0,1212.0,21930.714285714286,2856.035172185719,3728.5714285714284,38,0.05688622754491018
2023-02-09,24123,Electronics,4300,Thursday,0,3,2,1,40,0,0.43388373911755823,-0.900968867902419,22890.0,21678.0,1233.0,22278.428571428572,2794.063102195013,3814.285714285714,39,0.058383233532934134
2023-02-10,26456,Electronics,4700,Friday,0,4,2,1,41,0,-0.433883739117558,-0.9009688679024191,24123.0,23890.0,2333.0,22627.714285714286,2858.5735786860378,3900.0,40,0.059880239520958084
2023-02-11,29789,Electronics,5200,Saturday,0,5,2,1,42,1,-0.9749279121818236,-0.2225209339563146,26456.0,27123.0,3333.0,22994.285714285714,3192.4505067573446,3985.714285714286,41,0.061377245508982034
2023-02-12,19456,Electronics,3100,Sunday,0,6,2,1,43,1,-0.7818314824680299,0.6234898018587334,29789.0,18234.0,-10333.0,23375.14285714286,3856.9620354441035,4042.8571428571427,42,0.06287425149700598
2023-02-13,21678,Electronics,3700,Monday,0,0,2,1,44,0,0.0,1.0,19456.0,20456.0,2222.0,23549.714285714286,3604.902713171126,4071.4285714285716,43,0.06437125748502993
2023-02-14,28934,Electronics,5500,Tuesday,1,1,2,1,45,0,0.7818314824680298,0.6234898018587336,21678.0,21678.0,7256.0,23724.285714285714,3456.6568971712936,4114.285714285715,44,0.0658682634730539
2023-02-15,23456,Electronics,4100,Wednesday,0,2,2,1,46,0,0.9749279121818236,-0.22252093395631434,28934.0,22890.0,-5478.0,24760.85714285714,3810.584750777378,4357.142857142857,45,0.06736526946107785
2023-02-16,24678,Electronics,4400,Thursday,0,3,2,1,47,0,0.43388373911755823,-0.900968867902419,23456.0,24123.0,1222.0,24841.714285714286,3770.060066466031,4371.428571428572,46,0.0688622754491018
2023-02-17,26890,Electronics,4800,Friday,0,4,2,1,48,0,-0.433883739117558,-0.9009688679024191,24678.0,26456.0,2212.0,24921.0,3758.2435170346903,4385.714285714285,47,0.07035928143712575
2023-02-18,30123,Electronics,5400,Saturday,0,5,2,1,49,1,-0.9749279121818236,-0.2225209339563146,26890.0,29789.0,3233.0,24983.0,3791.2221864019803,4400.0,48,0.0718562874251497
2023-02-19,20234,Electronics,3300,Sunday,0,6,2,1,50,1,-0.7818314824680299,0.6234898018587334,30123.0,19456.0,-9889.0,25030.714285714286,3863.207247624075,4428.571428571428,49,0.07335329341317365
2023-02-20,22456,Electronics,3800,Monday,1,0,2,1,51,0,0.0,1.0,20234.0,21678.0,2222.0,25141.85714285714,3683.087039815525,4457.142857142857,50,0.0748502994011976
2023-02-21,23678,Electronics,4100,Tuesday,0,1,2,1,52,0,0.7818314824680298,0.6234898018587336,22456.0,28934.0,1222.0,25253.0,3571.1770701922087,4471.428571428572,51,0.07634730538922156
2023-02-22,24890,Electronics,4400,Wednesday,0,2,2,1,53,0,0.9749279121818236,-0.22252093395631434,23678.0,23456.0,1212.0,24502.14285714286,3201.6712525685357,4271.428571428572,52,0.07784431137724551
2023-02-23,26123,Electronics,4700,Thursday,0,3,2,1,54,0,0.43388373911755823,-0.900968867902419,24890.0,24678.0,1233.0,24707.0,3169.2913508648307,4314.285714285715,53,0.07934131736526946
2023-02-24,28456,Electronics,5000,Friday,0,4,2,1,55,0,-0.433883739117558,-0.9009688679024191,26123.0,26890.0,2333.0,24913.428571428572,3213.8339439130286,4357.142857142857,54,0.08083832335329341
